"Step","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188"
"1","7.053981184959412","6.92024564743042","7.170122146606445","1.765523910522461","1.7202913761138916","1.813555359840393","13.092548608779907","12.794441223144531","13.242210388183594","7.054309606552124","6.920639991760254","7.17011833190918","13.092548608779907","12.794441223144531","13.242210388183594"
"2","1.8212711811065674","1.6718639135360718","1.9151782989501953","0.8482785522937775","0.8370813131332397","0.86274254322052","9.922106981277466","9.784095764160156","10.038375854492188","1.8112076222896576","1.6636854410171509","1.9029884338378906","7.571065068244934","7.180351257324219","7.734994888305664"
"3","0.9901278614997864","0.9678868651390076","1.003421664237976","0.529071494936943","0.5075923800468445","0.5492502450942993","5.490818977355957","5.043633460998535","5.931055068969727","0.9908992946147919","0.9686639308929443","1.0046169757843018","1.7411684095859528","1.6369892358779907","1.8316452503204346"
"4","0.8171270787715912","0.7921308279037476","0.835658073425293","0.28330592811107635","0.272737979888916","0.2947859764099121","2.4306209683418274","2.3373560905456543","2.598130464553833","0.8187694847583771","0.7932801246643066","0.8378908038139343","1.3722931146621704","1.28932523727417","1.5375850200653076"
"5","0.669604942202568","0.6627222895622253","0.6756167411804199","0.20902465656399727","0.1953425109386444","0.2204718440771103","2.029345452785492","1.9028964042663574","2.176041603088379","0.6694496273994446","0.6625884175300598","0.6755322813987732","1.3604660630226135","1.314787745475769","1.418984055519104"
"6","0.574951633810997","0.5523665547370911","0.6041371822357178","0.1883656121790409","0.17816825211048126","0.19315481185913086","1.8156690895557404","1.71693754196167","1.89125657081604","0.5743420422077179","0.5515279769897461","0.6038175821304321","1.5170100033283234","1.4206384420394897","1.5801420211791992"
"7","0.46263160556554794","0.44709667563438416","0.4888743758201599","0.18757138401269913","0.1811496913433075","0.19357606768608093","1.693097859621048","1.592095136642456","1.7522212266921997","0.46200741827487946","0.44662731885910034","0.48844894766807556","1.9265540540218353","1.8292633295059204","2.0715856552124023"
"8","0.38679759949445724","0.35466116666793823","0.40317219495773315","0.16986287757754326","0.15776729583740234","0.17945151031017303","1.696927011013031","1.5423449277877808","1.7855961322784424","0.38635268807411194","0.3544515371322632","0.4022049605846405","2.094259023666382","2.001436233520508","2.166661500930786"
"9","0.38569895923137665","0.343919962644577","0.4602268636226654","0.16807028651237488","0.15395106375217438","0.1892733871936798","1.530108779668808","1.5071001052856445","1.5706568956375122","0.38538847863674164","0.34456735849380493","0.459800124168396","2.181781232357025","2.002321720123291","2.41019344329834"
"10","0.3364899754524231","0.31972384452819824","0.3513391315937042","0.1728905513882637","0.160410538315773","0.18295356631278992","1.5794264078140259","1.5042500495910645","1.7214345932006836","0.3341158628463745","0.3195038139820099","0.3508754372596741","2.1776806712150574","2.13480806350708","2.2451653480529785"
