"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188","14.91809892654419","14.595473289489746","15.079391479492188"
"1","8.301327347755432","6.863925457000732","9.636322021484375","14.954237937927246","14.748106002807617","15.078879356384277","14.589117765426636","13.284587860107422","15.108551979064941","8.824163675308228","8.06209945678711","9.563582420349121","8.272549271583557","6.938356399536133","9.63535213470459"
"2","3.130209803581238","2.2357053756713867","3.9643313884735107","14.565348148345947","14.192032814025879","14.826408386230469","13.695229768753052","10.035125732421875","15.056770324707031","2.7818965315818787","2.2733664512634277","3.1517837047576904","2.4929615557193756","1.7854266166687012","3.468956470489502"
"3","1.1891402304172516","1.082194447517395","1.3359023332595825","14.484694004058838","14.239635467529297","14.789119720458984","12.60326087474823","5.835773944854736","15.102546691894531","1.0440042316913605","0.9908510446548462","1.102682113647461","1.0361781865358353","0.9773128032684326","1.138749122619629"
"4","0.9878134429454803","0.9125065803527832","1.0867924690246582","14.227656364440918","13.833003997802734","14.523969650268555","11.741883993148804","2.4770259857177734","14.984787940979004","0.852310448884964","0.8162016868591309","0.8675458431243896","0.8452518582344055","0.7999064922332764","0.9062995910644531"
"5","0.8314859569072723","0.7511969208717346","0.91486656665802","14.353559494018555","14.173932075500488","14.643573760986328","11.67270016670227","2.1290483474731445","14.924592971801758","0.7124079167842865","0.7011609077453613","0.7325094938278198","0.6979831606149673","0.6636313199996948","0.7313003540039062"
"6","0.6598163843154907","0.5367071628570557","0.7448328733444214","14.080977439880371","13.827986717224121","14.439046859741211","11.611148357391357","1.9119672775268555","15.164484024047852","0.6369046270847321","0.6003937721252441","0.6874299049377441","0.6176880151033401","0.5624743700027466","0.6711777448654175"
"7","0.49902912974357605","0.3700655698776245","0.6134260892868042","13.92733883857727","13.433115005493164","14.318754196166992","11.462640523910522","1.7670650482177734","15.188321113586426","0.5340046733617783","0.49133554100990295","0.5824021100997925","0.5115928202867508","0.45671939849853516","0.5610780715942383"
"8","0.3368067294359207","0.2597748637199402","0.4289247393608093","13.77671766281128","13.048744201660156","14.269603729248047","11.429115176200867","1.8005337715148926","14.946927070617676","0.4281204268336296","0.38008397817611694","0.46305781602859497","0.417925164103508","0.39383453130722046","0.44243061542510986"
"9","0.2501612454652786","0.20910263061523438","0.28781604766845703","13.290475130081177","13.118983268737793","13.636459350585938","11.281920850276947","1.5143201351165771","14.791690826416016","0.42120909690856934","0.37578248977661133","0.4886630177497864","0.4028674438595772","0.3533870279788971","0.48496729135513306"
"10","0.2261897437274456","0.2029193639755249","0.24930129945278168","13.240402698516846","12.30026626586914","13.907360076904297","11.53325080871582","1.5099220275878906","15.298208236694336","0.3642912730574608","0.3507099151611328","0.37909185886383057","0.3533482700586319","0.31999802589416504","0.38683855533599854"
"11","0.21179107204079628","0.1966935396194458","0.22883574664592743","12.956872701644897","12.204821586608887","13.440840721130371","11.439168632030487","1.4960486888885498","14.916816711425781","0.33318762481212616","0.3161931335926056","0.3560144901275635","0.32682419568300247","0.30201107263565063","0.3829651176929474"
"12","0.20365138351917267","0.18072301149368286","0.22288978099822998","13.114205360412598","12.202832221984863","13.680066108703613","11.67251604795456","1.5014922618865967","15.43231201171875","0.30353686213493347","0.2870190739631653","0.31208837032318115","0.29911768436431885","0.2665007412433624","0.33272019028663635"
"13","0.19327204674482346","0.18088150024414062","0.2117399275302887","12.241960763931274","11.7781982421875","12.464686393737793","11.087474405765533","1.4757044315338135","14.332747459411621","0.271196112036705","0.2591732144355774","0.29079580307006836","0.26684200018644333","0.2508355379104614","0.28373798727989197"
